대륙,국적,인원,전년동기, 성장률 , 구성비 ,남성인원, 남성인원성장률,여성인원, 여성인원성장률,승무원인원, 승무원인원성장률 
미주,미주 기타,"1,853","2,616",-29.2,0.2,877,2.5,707,16.7,269,-76.7
미주,미주소계,"84,686","84,987",-0.4,7.5,"44,119",0.4,"34,052",0.9,"6,515",-10.9
구주,러시아,"21,606","19,732",9.5,1.9,"8,690",10.2,"7,454",22.4,"5,462",-5.1
구주,영국,"7,843","8,305",-5.6,0.7,"4,706",0.1,"2,554",6.7,583,-51.8
구주,독일,"6,729","6,110",10.1,0.6,"4,464",9.8,"1,568",9.7,697,13.3
구주,프랑스,"5,619","5,681",-1.1,0.5,"3,353",-5,"1,714",2.2,552,16.7
구주,이탈리아,"2,288","3,912",-41.5,0.2,"1,501",-1.1,483,16.4,304,-84.6
구주,네덜란드,"2,189","2,115",3.5,0.2,"1,243",5.8,503,13,443,-10.5
구주,우크라이나,"2,192","2,353",-6.8,0.2,746,19.7,205,10.8,"1,241",-19.7
구주,스페인,"1,449","1,400",3.5,0.1,860,6,448,12.6,141,-26.2
구주,루마니아,708,"1,136",-37.7,0.1,282,8.5,84,21.7,342,-57.6
구주,노르웨이,757,981,-22.8,0.1,536,-20.5,202,-18.2,19,-68.3
구주,스웨덴,"1,046","1,093",-4.3,0.1,637,-2,359,-6.8,50,-13.8
구주,폴란드,"1,417","1,210",17.1,0.1,554,20.4,230,-6.9,633,25.8
구주,스위스,900,816,10.3,0.1,604,3.6,258,33,38,-2.6
구주,포르투갈,"1,009","1,133",-10.9,0.1,407,1.5,538,-1.1,64,-66
구주,오스트리아,648,631,2.7,0.1,409,6.8,149,20.2,90,-27.4
구주,핀란드,"1,078",925,16.5,0.1,484,19.8,275,6.2,319,21.8
구주,벨기에,620,721,-14,0.1,392,-15.2,145,-11.6,83,-12.6
구주,크로아티아,325,622,-47.7,0,177,-6.8,25,-13.8,123,-69.5
구주,그리스,807,766,5.4,0.1,472,40.9,74,10.4,261,-28.3
구주,불가리아,410,707,-42,0,132,20,46,24.3,232,-58.6
구주,덴마크,599,639,-6.3,0.1,395,-5,111,-19.6,93,9.4
구주,아일랜드,489,489,0,0,303,5.9,132,-9,54,-6.9
구주,구주 기타,"2,321","2,700",-14,0.2,"1,088",15.6,591,21.6,642,-49.6
구주,구주소계,"63,049","64,177",-1.8,5.6,"32,435",5.1,"18,148",12.3,"12,466",-27.3
대양주,오스트레일리아,"14,996","15,781",-5,1.3,"7,657",-4.5,"7,056",-5.1,283,-12.7
대양주,뉴질랜드,"3,242","3,380",-4.1,0.3,"1,653",-4.8,"1,464",-2.5,125,-11.3
대양주,대양주 기타,561,448,25.2,0,247,30.7,208,33.3,106,2.9
대양주,대양주소계,"18,799","19,609",-4.1,1.7,"9,557",-3.9,"8,728",-4,514,-9.5
아프리카,남아프리카공화국,734,986,-25.6,0.1,349,-5.4,318,-1.2,67,-77.3
아프리카,아프리카 기타,"2,578","2,589",-0.4,0.2,"1,796",27.8,476,20.2,306,-61.2
아프리카,아프리카소계,"3,312","3,575",-7.4,0.3,"2,145",20.9,794,10.6,373,-65.6
기타,국적미상,54,59,-8.5,0,35,66.7,7,-46.2,12,-52
,기타소계,54,59,-8.5,0,35,66.7,7,-46.2,12,-52
교포,교포,"22,416","22,765",-1.5,2,"9,738",-0.8,"12,678",-2.1,0,-
교포,교포 소계,"22,416","22,765",-1.5,2,"9,738",-0.8,"12,678",-2.1,0,-
